user_id,score_perception
WB_1_00001,29
WB_1_00002,11
WB_1_00003,11
WB_1_00004,11
WB_1_00005,12
WB_1_00006,10
WB_1_00007,12
WB_1_00008,23
WB_1_00009,12
WB_1_00010,19
WB_1_00011,22
WB_1_00012,10
WB_1_00013,14
WB_1_00014,12
WB_1_00015,11
WB_1_00016,31
WB_1_00017,33
WB_1_00018,28
WB_1_00019,29
WB_1_00020,12
WB_1_00021,29
WB_1_00022,31
WB_1_00023,30
WB_1_00024,29
WB_1_00025,36
WB_1_00026,31
WB_1_00027,33
WB_1_00028,25
WB_1_00029,26
WB_1_00030,33
WB_1_00031,30
WB_1_00032,28
WB_1_00033,11
WB_1_00034,28
WB_1_00035,24
WB_1_00036,23
WB_1_00037,14
WB_1_00038,22
WB_1_00039,23
WB_1_00040,29
WB_1_00041,25
WB_1_00042,30
WB_1_00043,19
WB_1_00044,24
WB_1_00045,21
WB_1_00046,24
WB_1_00047,30
WB_1_00048,27
WB_1_00049,9
WB_1_00050,29
WB_1_00051,28
WB_1_00052,34
WB_1_00053,25
WB_1_00054,34
WB_1_00055,30
WB_1_00056,24
WB_1_00057,24
WB_1_00058,31
WB_1_00059,32
WB_1_00060,20
WB_1_00061,22
WB_1_00062,25
WB_1_00063,10
WB_1_00064,25
WB_1_00065,28
WB_1_00066,26
WB_1_00067,26
WB_1_00068,29
WB_1_00069,31
WB_1_00070,29
WB_1_00071,31
WB_1_00072,29
WB_1_00073,32
WB_1_00074,28
WB_1_00075,28
WB_1_00076,25
WB_1_00077,22
WB_1_00078,22
WB_1_00079,17
WB_1_00080,21
WB_1_00081,29
WB_1_00082,31
WB_1_00083,13
WB_1_00084,29
WB_1_00085,34
WB_1_00086,32
WB_1_00087,15
WB_1_00088,35
WB_1_00089,27
WB_1_00090,26
WB_1_00091,32
WB_1_00092,30
WB_1_00093,32
WB_1_00094,12
WB_1_00095,32
WB_1_00096,28
WB_1_00097,33
WB_1_00098,31
WB_1_00099,31
WB_1_00100,24
